Waktu,Tegangan (V),Arus (A),Daya (W),Energi (kWh)
2020-06-07 08:20:12,220.80,0.00,0.00,2.32
2020-06-07 08:25:14,221.00,0.00,0.00,2.32
2020-06-07 08:30:16,219.70,0.00,0.00,2.32
2020-06-07 08:35:18,220.30,0.00,0.00,2.32
2020-06-07 08:40:20,220.30,0.00,0.00,2.32
2020-06-07 08:45:22,219.30,0.00,0.00,2.32
2020-06-07 08:50:23,220.10,0.00,0.00,2.32
2020-06-07 08:55:25,219.40,0.00,0.00,2.32
2020-06-07 09:00:27,220.30,0.00,0.00,2.32
2020-06-07 09:05:29,220.50,0.00,0.00,2.32
2020-06-07 09:10:31,222.40,0.00,0.00,2.32
2020-06-07 09:15:33,220.10,0.00,0.00,2.32
2020-06-07 09:20:35,222.40,0.00,0.00,2.32
2020-06-07 09:25:36,223.30,0.00,0.00,2.32
2020-06-07 09:30:38,221.10,0.00,0.00,2.32
2020-06-07 09:35:40,221.40,0.00,0.00,2.32
2020-06-07 09:40:42,222.00,0.00,0.00,2.32
2020-06-07 09:45:44,222.10,0.00,0.00,2.32
2020-06-07 09:50:45,221.80,0.00,0.00,2.32
2020-06-07 09:55:47,220.80,0.00,0.00,2.32
2020-06-07 10:00:49,221.40,0.00,0.00,2.32
2020-06-07 10:05:51,221.40,0.00,0.00,2.32
2020-06-07 10:10:53,222.20,0.00,0.00,2.32
2020-06-07 10:15:55,222.60,0.00,0.00,2.32
2020-06-07 10:20:57,221.50,0.00,0.00,2.32
2020-06-07 10:25:58,221.70,0.00,0.00,2.32
2020-06-07 10:31:00,221.30,0.00,0.00,2.32
2020-06-07 10:36:02,221.30,0.00,0.00,2.32
2020-06-07 10:41:04,222.50,0.00,0.00,2.32
2020-06-07 10:46:06,221.60,0.00,0.00,2.32
2020-06-07 10:51:08,220.80,0.00,0.00,2.32
2020-06-07 10:56:09,221.10,0.00,0.00,2.32
2020-06-07 11:01:11,221.20,0.00,0.00,2.32
2020-06-07 11:06:13,221.20,0.00,0.00,2.32
2020-06-07 11:11:15,222.10,0.00,0.00,2.32
2020-06-07 11:16:17,220.00,0.00,0.00,2.32
2020-06-07 11:21:19,219.80,0.00,0.00,2.32
2020-06-07 11:26:20,220.70,0.00,0.00,2.32
2020-06-07 11:31:22,222.10,0.00,0.00,2.32
2020-06-07 11:36:24,222.80,0.00,0.00,2.32
2020-06-07 11:41:26,220.80,0.00,0.00,2.32
2020-06-07 11:46:28,219.50,0.00,0.00,2.32
2020-06-07 11:51:30,221.30,0.00,0.00,2.32
